,id,age_ratings,aggregated_rating,aggregated_rating_count,bundles,category,cover,created_at,first_release_date,franchise,franchises,game_engines,game_modes,genres,involved_companies,name,parent_game,platforms,player_perspectives,popularity,release_dates,screenshots,similar_games,slug,storyline,summary,tags,themes,total_rating,total_rating_count,updated_at,url,videos,websites,rating,rating_count,keywords,collection,external_games,artworks,pulse_count,alternative_names,hypes,time_to_beat,multiplayer_modes
77,121725,"[25344, 26952]",,,,1,89342.0,1565913600,1457308800.0,456.0,[456],,[5],[12],"[90546, 90547]",The Elder Scrolls Online: Thieves Guild,1081,"[6, 14, 48, 49]","[1, 2]",1.445778115533162,"[185718, 185719, 185720, 185721]","[352486, 352487, 352488, 352489, 352490]","[19127, 22790, 57033, 69007, 99118, 103303, 106987, 112191, 113636, 113910]",the-elder-scrolls-online-thieves-guild,,"Join the Thieves Guild in Hew's Bane, a never-before-seen area of Hammerfell! Explore Abah's Landing, a decadent port town ruled by corrupt merchant lords, who struggle with the Thieves Guild for power. New stories, delves, group bosses, and much more!","[17, 268435468]",[17],,,1579219200,https://www.igdb.com/games/the-elder-scrolls-online-thieves-guild,[29409],"[113378, 130194, 130195, 130196, 130197, 130198, 130199, 130200, 130201, 130202]",,,,,,"[8463, 8464, 8465, 8466, 8467]",,"[28940, 28941, 28942, 28943, 28944]",,,
78,122317,[25813],90.0,1.0,,1,92968.0,1568160000,1568073600.0,,,,[1],[13],"[84339, 84340, 84341]",The Sims 4: Realm of Magic,3212,"[6, 14, 48, 49]",[3],1.0,"[175584, 175585, 175586, 175587]",[333005],"[2655, 3278, 36258, 46745, 79134, 99118, 101573, 107233, 113360, 117717]",the-sims-4-realm-of-magic,,"Explore a supernatural world and master the art of wizardry in The Sims™ 4 Realm of Magic. This countryside town may look and feel like other neighborhoods, but once the secret portal is unlocked, the true magic begins. Potions, wands, and even a floating world will charm your Sim, but beware of spells gone wrong! Learn the craft of wizardry, summon a familiar for protection, and immerse yourself in this spellbinding realm. 
 
KEY FEATURES 
Discover the Neighborhood – An unreal world awaits your Sim, and when you stumble upon the secret portal, there are mystical discoveries at every turn. Interact with familiars, cast spells on Sims around you, and concoct potions for friends and enemies. 
 
Learn the Craft – Study up on classic teachings, get sorcerous experts to train your Sim, and become a Spellcaster by completing a quest. Collect and cast spells to make Sims fight, conjure food, or even turn others into objects. Create drinkable potions to make Sims fall in love, remove unwanted curses, or live forever! 
 
Get Real Familiar – An ethereal familiar – or protector -- will help your Sim become the Spellcaster they were destined to be. Summon a dragon, fairy, or the familiar that best suits your Sim’s personality as a personal guard and give it a creative name. 
 
Dress for Supernatural Success – Get in the spirit of sorcery with outfits that suit your Sim. Over-the-top attire is cauldron-ready, while a subdued ensemble is perfect for casting new spells. Collect wands and brooms to finish the look, then decorate rooms with enchanting objects.","[17, 33, 268435469]","[17, 33]",90.0,1.0,1582070400,https://www.igdb.com/games/the-sims-4-realm-of-magic,[29881],"[116534, 116535]",,,,,,,3.0,,,,
79,128473,"[26953, 26954]",,,,1,89343.0,1579219200,1464652800.0,456.0,[456],,[5],[12],"[90548, 90549]",The Elder Scrolls Online: Dark Brotherhood,1081,"[6, 14, 48, 49]","[1, 2]",1.0,"[185722, 185723, 185724, 185725]","[352491, 352492, 352493]","[19127, 22790, 57033, 69007, 99118, 103303, 106987, 112191, 113636, 113910]",the-elder-scrolls-online-dark-brotherhood,,"Though at the height of their power, the Dark Brotherhood faces a grave threat in the form of a mysterious black-armored warrior capable of bringing down their best agents. Venture forth for another exciting adventure in the Elder Scrolls Online as you carve a bloody swath across Tamriel in the name of the Dark Brotherhood!","[17, 268435468]",[17],,,1579219200,https://www.igdb.com/games/the-elder-scrolls-online-dark-brotherhood,[33144],"[130203, 130205, 130206, 130207, 130208, 130209, 130210, 130211, 130212, 130213]",,,,,,"[8468, 8469]",,"[28945, 28946]",,,
80,101058,[23168],,,,1,68225.0,1525824000,1530576000.0,124.0,"[124, 1257]",,"[1, 2, 3, 4]",[25],,Marvel's Ant-Man and The Wasp Movie Character and Level Pack,28815,"[6, 14, 48, 49, 130]",[2],1.0,"[158068, 158069, 158070, 158071, 158072]",,"[134, 75412, 76253, 100800, 103168, 103289, 113109, 113895, 115276, 118490]",marvels-ant-man-and-the-wasp-movie-character-and-level-pack,,,"[1, 268435481]",[1],,,1536278400,https://www.igdb.com/games/marvels-ant-man-and-the-wasp-movie-character-and-level-pack,,[88255],,,,2715.0,,,,,,,[8706]
81,106817,,,,,1,67627.0,1533513600,1508976000.0,,,,[1],,[68487],Hollow Knight: The Grimm Troupe,14593,"[6, 14, 130]",[4],1.445778115533162,"[156627, 156628, 156629]",,"[28774, 48233, 71628, 75953, 76744, 89594, 109287, 110121, 114004, 114026]",hollow-knight-the-grimm-troupe,,"The Grimm Troupe is the second of the three free content pack for Hollow Knight, following Hidden Dreams on the 13th June, 2017. It was released on the 26th October, 2017. It will be followed by Gods & Glory on the 26th August, 2018.",[536871389],,,,1577404800,https://www.igdb.com/games/hollow-knight-the-grimm-troupe,[21497],[86569],,,[477],,,,,,,,
82,106818,,,,,1,67633.0,1533513600,1501718400.0,,,,[1],,[68488],Hollow Knight: Hidden Dreams,14593,"[6, 14, 130]",[4],1.432161387944406,"[156630, 156631, 156632]",,"[27238, 28774, 71628, 75953, 89594, 109287, 110121, 114004, 114026, 121034]",hollow-knight-hidden-dreams,,Hidden Dreams is the first of three free content packs for Hollow Knight.,[536871389],,,,1549929600,https://www.igdb.com/games/hollow-knight-hidden-dreams,[21498],[86570],,,[477],,,,,,,,
83,55176,,60.0,1.0,,1,29632.0,1503964800,1503964800.0,,,,[1],"[31, 32]","[53728, 53729]",Shantae: Half-Genie Hero - Pirate Queen's Quest,11078,"[6, 41, 46, 48, 49, 130]",[4],1.0,"[110779, 110780, 110781, 110782, 110783, 110784]",[119033],"[25646, 26298, 29032, 37026, 37419, 80916, 81275, 105269, 105447, 113360]",shantae-half-genie-hero-pirate-queens-quest,,"""Raise anchor and set sail for a total re-imagining of the base game’s play style, theme, and storyline. You’ve played the genie-half, now experience the other side of the story! 
 
As the villainous pirate Risky Boots, you quest is to travel Sequin Land in search of the components needed to conquer Sequin Land and defeat the Half-Genie brat!""","[1, 268435487, 268435488, 536871453]",[1],60.0,1.0,1503964800,https://www.igdb.com/games/shantae-half-genie-hero-pirate-queens-quest,"[15642, 15643]","[54970, 54971]",,,[541],1140.0,,,3.0,[9657],,,
84,76945,,50.0,1.0,,1,,1512691200,1513036800.0,,,,[1],"[8, 31, 32]",[58900],Shantae: Half-Genie Hero - Friends to the End,11078,"[6, 41, 46, 48, 49, 130]",[4],1.0,"[130743, 130744, 130745, 130746, 130747, 130748]",,"[24426, 28070, 29032, 37026, 37419, 76882, 89597, 96217, 106987, 113360]",shantae-half-genie-hero-friends-to-the-end,,"""The final piece of the Shantae: Half-Genie Hero storyline is here! 
 
When Shantae falls prey to dark magic, it’s up to Shantae's BFFs Sky, Bolo, and Rottytops to save her from a Nightmare Realm of her own imagining! Conquer remixed locales (and new challenge levels) using Bolo’s grapple claw, Sky’s egg-toss, and Rottytops’ brain-munching to beat bad guys, solve all-new puzzles, and rescue the half-genie hero. It's all possible with the power of friendship!""","[1, 17, 27, 268435464, 268435487, 268435488, 536871453]","[1, 17, 27]",50.0,1.0,1513728000,https://www.igdb.com/games/shantae-half-genie-hero-friends-to-the-end,[17108],,,,[541],1140.0,,,5.0,,,,
85,13177,,90.0,4.0,,1,75659.0,1444089600,1446163200.0,,,,"[1, 3]","[5, 9, 15, 32]","[26899, 26900]",The Binding of Isaac: Afterbirth,7789,"[6, 45, 48, 49]",[3],3.897584043181682,"[38123, 38124, 38125, 106119, 134213, 134214]","[116970, 116971, 116972, 116973, 116974]","[19164, 24765, 25311, 25646, 27266, 28182, 56033, 76263, 105269, 114455]",the-binding-of-isaac-afterbirth,,"When Isaac’s mother starts hearing the voice of God demanding a sacrifice be made to prove her faith, Isaac escapes into the basement facing droves of deranged enemies, lost brothers and sisters, his fears, and eventually his mother.","[1, 19, 27, 268435461, 268435465, 268435471, 268435488, 536871010, 536871328, 536871632, 536872014, 536872098, 536872217, 536872225, 536872533, 536872879]","[1, 19, 27]",90.26585236140716,56.0,1583020800,https://www.igdb.com/games/the-binding-of-isaac-afterbirth,"[17902, 17903]","[14945, 14946]",90.5317047228143,52.0,"[98, 416, 720, 1102, 1186, 1305, 1313, 1621, 1967]",1051.0,[245194],,12.0,"[30770, 30771, 30772]",1.0,,
86,15169,,70.0,3.0,,1,69608.0,1449705600,1450137600.0,571.0,[571],[10],[1],[31],"[29164, 79875]",Assassin's Creed: Syndicate - Jack The Ripper,8263,"[6, 45, 48, 49]",[2],1.891556231066324,"[41948, 41949, 41950, 134434, 134435]","[140837, 140838, 140839, 140840]","[27316, 37382, 81249, 103054, 106279, 109423, 109532, 115653, 116681, 118218]",assassins-creed-syndicate-jack-the-ripper,,"Let the hunt begin... 20 years after the events of Assassin’s Creed Syndicate, ‘JACK THE RIPPER’ has embarked on a brutal reign of terror that shocks London to its core and threatens the very existence of the Brotherhood of Assassins. 
 
Experience this chilling campaign and access additional exclusive content as part of the Assassin's Creed Syndicate Season Pass.","[22, 23, 38, 268435487]","[22, 23, 38]",70.09258357337305,22.0,1577923200,https://www.igdb.com/games/assassins-creed-syndicate-jack-the-ripper,[6468],"[5420, 56850, 56851]",70.1851671467461,19.0,,18.0,,,1.0,,,,
