Business,Category,Lifeline,Latitude,Longitude,Zipcode
Summit Avenue - Green Line MBTA,metrostations,6,42.341008,-71.12576,02446
Capen Street M Line MBTA Station,metrostations,6,42.2675711183783,-71.0872154291138,02186
A & A Metro Transportation,limos,6,41.961617,-70.971643,02324
Medford Taxi MA,taxis,6,42.401339,-71.0974976,02155
Bayside Coach,airport_shuttles,6,42.281,-70.87218,02045
Brandon Hall MBTA Station - Green Line,metrostations,6,42.3399463410698,-71.1283250236876,02446
Riverside Car Service,taxis,6,42.3083496,-71.084877,02121
Fairbanks Street MBTA Station - Green Line,metrostations,6,42.33949,-71.1313,02446
Taxi Time,taxis,6,42.4325942993164,-71.0600967407227,02148
A Plus Taxi Service,airport_shuttles,6,42.19211,-71.20148,02062
Englewood Avenue MBTA - Green Line,metrostations,6,42.3382150002825,-71.139445000223,02445
MBTA Bus Route 430,publictransport,6,42.4301414489746,-71.0717849731445,02148
Dean Road - Green Line,metrostations,6,42.3382150002825,-71.139445000223,02445
Tappan Street MBTA Station - Green Line,metrostations,6,42.33837,-71.13876,02445
Tufts Taxi Service,taxis,6,42.40077,-71.11196,02144
Medford Cab,taxis,6,42.415247708559,-71.1106261610985,02155
Crystal Transport,publictransport,6,42.2549514770508,-71.125617980957,02136
Forest Hills Independent Taxi Service,taxis,6,42.2873358428478,-71.1270848661661,02131
Medford Cab,taxis,6,42.4013071547995,-71.0976048883606,02155
Waltham Taxi,taxis,6,42.3699774,-71.2365677,02453
Marina Bay Taxi,taxis,6,42.265811,-71.0111463,02169
MBTA,publictransport,6,42.4047355651855,-70.994140625,02151
iTaxi Cambridge,taxis,6,42.3623466491699,-71.1024627685547,02139
Massachusetts Bay Transportation Authority,publictransport,6,42.3416052002029,-71.1462036520243,02135
Haverhill Taxi,taxis,6,42.7798261,-71.0787956,01830
Blue Taxi,taxis,6,42.39278,-71.02358,02150
Lowell Cab,taxis,6,42.633812,-71.297748,01852
Valley Road M Line MBTA Station,metrostations,6,42.268335958566,-71.0813380048462,02186
Somerville Taxi,taxis,6,42.38142,-71.09052,02143
Boston Metro Shuttle,airport_shuttles,6,42.2943382263184,-71.1175308227539,02130
Belmont Cab Service,taxis,6,42.39707,-71.17834,02478
Somerville Cab of Cambridge,taxis,6,42.4007034301758,-71.1220703125,02144
